"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.28",1,0.386,0.386,2,2,1,1,0,0,0,0,0,0,1,0.757,0.757,2,2,1,1,0,0,0,0,0,0
"result.29",1,0.419,0.419,2,2,1,1,0,0,0,0,0,0,1,0.683,0.683,2,2,1,1,0,0,0,0,0,0
"result.30",0,0.083,0.139,2,2,1,1,0,0,0,1,0,0,1,0.602,0.602,2,2,1,1,0,0,0,0,0,0
"result.31",1,0.502,0.502,2,2,1,1,0,0,0,0,0,0,1,0.72,0.72,2,2,1,1,0,0,0,0,0,0
"result.32",1,0.629,0.629,2,2,1,1,0,0,0,0,0,0,1,0.734,0.734,2,2,1,1,0,0,0,0,0,0
"result.33",1,0.466,0.466,2,2,1,1,0,0,0,0,0,0,0,0.347,0.365,2,2,1,1,0,0,0,0,0,1
"result.34",1,0.554,0.554,2,2,1,1,0,0,0,0,0,0,0,0.143,0.55,2,2,1,1,0,0,0,1,0,0
"result.35",1,0.525,0.525,2,2,1,1,0,0,0,0,0,0,1,0.321,0.321,2,2,1,1,0,0,0,0,0,0
"result.36",1,0.396,0.396,2,2,1,1,0,0,0,0,0,0,1,0.705,0.705,2,2,1,1,0,0,0,0,0,0
"result.37",1,0.274,0.274,2,2,1,1,0,0,0,0,0,0,1,0.621,0.621,2,2,1,1,0,0,0,0,0,0
"result.38",1,0.558,0.558,2,2,1,1,0,0,0,0,0,0,1,0.622,0.622,2,2,1,1,0,0,0,0,0,0
"result.39",1,0.394,0.394,2,2,1,1,0,0,0,0,0,0,1,0.729,0.729,2,2,1,1,0,0,0,0,0,0
"result.40",0,0.078,0.154,2,2,1,1,0,1,0,0,0,0,1,0.694,0.694,2,2,1,1,0,0,0,0,0,0
"result.41",1,0.501,0.501,2,2,1,1,0,0,0,0,0,0,1,0.583,0.583,2,2,1,1,0,0,0,0,0,0
"result.42",1,0.659,0.659,2,2,1,1,0,0,0,0,0,0,1,0.662,0.662,2,2,1,1,0,0,0,0,0,0
"result.43",1,0.529,0.529,2,2,1,1,0,0,0,0,0,0,1,0.39,0.39,2,2,1,1,0,0,0,0,0,0
"result.44",1,0.573,0.573,2,2,1,1,0,0,0,0,0,0,1,0.781,0.781,2,2,1,1,0,0,0,0,0,0
"result.45",1,0.518,0.518,2,2,1,1,0,0,0,0,0,0,1,0.513,0.513,2,2,1,1,0,0,0,0,0,0
