"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"result.87",0,0,0.497,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.88",0,0.175,0.226,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.89",1,0.309,0.309,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.90",1,0.261,0.261,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.91",0,0.252,0.265,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.92",1,0.48,0.48,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.93",1,0.618,0.618,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.94",0,0.211,0.318,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"result.95",0,0.182,0.199,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"result.96",1,0.465,0.465,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.97",1,0.373,0.373,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.98",1,0.423,0.423,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.99",1,0.197,0.197,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.100",1,0.492,0.492,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
