"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.17",1,0.358,0.358,2,2,1,1,0,0,0,0,0,0,1,0.331,0.331,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.546,0.546,2,2,1,1,0,0,0,0,0,0,1,0.632,0.632,2,2,1,1,0,0,0,0,0,0
"result.19",1,0.628,0.628,2,2,1,1,0,0,0,0,0,0,1,0.558,0.558,2,2,1,1,0,0,0,0,0,0
"result.20",0,0.06,0.15,2,2,1,1,1,0,0,0,0,0,1,0.564,0.564,2,2,1,1,0,0,0,0,0,0
"result.21",1,0.647,0.647,2,2,1,1,0,0,0,0,0,0,1,0.356,0.356,2,2,1,1,0,0,0,0,0,0
"result.22",1,0.627,0.627,2,2,1,1,0,0,0,0,0,0,1,0.533,0.533,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.679,0.679,2,2,1,1,0,0,0,0,0,0,0,0.119,0.199,2,2,1,1,0,0,1,0,0,0
"result.24",1,0.449,0.449,2,2,1,1,0,0,0,0,0,0,1,0.196,0.196,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.399,0.399,2,2,1,1,0,0,0,0,0,0,1,0.295,0.295,2,2,1,1,0,0,0,0,0,0
"result.26",1,0.467,0.467,2,2,1,1,0,0,0,0,0,0,1,0.719,0.719,2,2,1,1,0,0,0,0,0,0
"result.27",0,0.024,0.558,1,2,1,1,0,0,0,0,0,0,1,0.467,0.467,2,2,1,1,0,0,0,0,0,0
"result.28",1,0.322,0.322,2,2,1,1,0,0,0,0,0,0,1,0.391,0.391,2,2,1,1,0,0,0,0,0,0
"result.29",1,0.662,0.662,2,2,1,1,0,0,0,0,0,0,1,0.367,0.367,2,2,1,1,0,0,0,0,0,0
"result.30",1,0.485,0.485,2,2,1,1,0,0,0,0,0,0,0,0.058,0.534,2,2,1,1,1,0,0,0,0,0
"result.31",1,0.296,0.296,2,2,1,1,0,0,0,0,0,0,1,0.415,0.415,2,2,1,1,0,0,0,0,0,0
"result.32",0,0.062,0.341,2,2,1,1,0,0,1,0,0,0,1,0.359,0.359,2,2,1,1,0,0,0,0,0,0
"result.33",1,0.57,0.57,2,2,1,1,0,0,0,0,0,0,1,0.481,0.481,2,2,1,1,0,0,0,0,0,0
"result.34",0,0.025,0.161,1,2,1,1,0,0,0,0,0,0,0,0.261,0.273,2,2,1,2,0,0,0,0,0,0
"result.35",1,0.282,0.282,2,2,1,1,0,0,0,0,0,0,1,0.298,0.298,2,2,1,1,0,0,0,0,0,0
"result.36",1,0.43,0.43,2,2,1,1,0,0,0,0,0,0,1,0.511,0.511,2,2,1,1,0,0,0,0,0,0
"result.37",0,0.1,0.262,2,2,1,2,0,0,0,0,0,0,1,0.463,0.463,2,2,1,1,0,0,0,0,0,0
"result.38",0,0.036,0.267,1,2,1,1,0,0,0,0,1,0,0,0.059,0.283,2,2,1,1,0,0,0,0,0,1
"result.39",1,0.317,0.317,2,2,1,1,0,0,0,0,0,0,1,0.536,0.536,2,2,1,1,0,0,0,0,0,0
"result.40",0,0.179,0.373,2,2,1,1,1,0,0,0,0,0,0,0.12,0.174,2,2,1,1,0,1,0,0,0,1
"result.41",0,0.23,0.305,2,2,1,1,0,0,1,0,0,0,1,0.464,0.464,2,2,1,1,0,0,0,0,0,0
"result.42",1,0.382,0.382,2,2,1,1,0,0,0,0,0,0,1,0.681,0.681,2,2,1,1,0,0,0,0,0,0
"result.43",1,0.621,0.621,2,2,1,1,0,0,0,0,0,0,1,0.315,0.315,2,2,1,1,0,0,0,0,0,0
"result.44",1,0.35,0.35,2,2,1,1,0,0,0,0,0,0,0,0.186,0.407,2,2,1,1,0,1,0,0,0,0
"result.45",1,0.645,0.645,2,2,1,1,0,0,0,0,0,0,1,0.474,0.474,2,2,1,1,0,0,0,0,0,0
"result.46",1,0.327,0.327,2,2,1,1,0,0,0,0,0,0,1,0.664,0.664,2,2,1,1,0,0,0,0,0,0
"result.47",1,0.512,0.512,2,2,1,1,0,0,0,0,0,0,1,0.595,0.595,2,2,1,1,0,0,0,0,0,0
"result.48",1,0.274,0.274,2,2,1,1,0,0,0,0,0,0,0,0.151,0.261,2,2,2,1,0,0,0,0,0,0
"result.49",1,0.676,0.676,2,2,1,1,0,0,0,0,0,0,1,0.541,0.541,2,2,1,1,0,0,0,0,0,0
"result.50",1,0.66,0.66,2,2,1,1,0,0,0,0,0,0,1,0.453,0.453,2,2,1,1,0,0,0,0,0,0
"result.51",1,0.529,0.529,2,2,1,1,0,0,0,0,0,0,1,0.558,0.558,2,2,1,1,0,0,0,0,0,0
"result.52",1,0.293,0.293,2,2,1,1,0,0,0,0,0,0,1,0.534,0.534,2,2,1,1,0,0,0,0,0,0
