"","B01_50","B01_100","B01_500","B01_1000"
"29",3.48770469435944,4.60517018591338,4.85325441170625,6.90775527640272
"30",1.77278530145233,3.27498001982731,6.21460808021712,6.90775527773275
"31",-0.144511348550379,4.60517018538608,6.21460809802545,4.44743438488604
"32",3.91202300540897,4.60517018588914,6.21460809841204,6.04502117750036
"33",3.91202300519005,4.60517018577931,3.09408969255065,6.90775525739122
"34",3.9120229657777,4.42826953976755,3.95134476620947,6.90775527834313
"35",3.91202300540618,4.60517018463571,5.82328019772939,6.90775525498464
"36",3.91202300286495,4.60517018570942,2.7776396106745,6.90775527792749
"37",3.91202300535591,4.60517018589034,6.21460809610628,6.90775527755835
"38",3.91202300542037,4.60517018576652,5.79512193128517,6.90775527246774
"39",3.91202300495275,3.85000137682137,6.21460809829068,6.90775526770739
"40",3.91202299929106,3.63968061351066,6.21460809382873,6.90775527777549
"41",3.91202300515264,4.60517018523436,6.21460809823273,6.90775527730557
"42",3.49000795471076,1.77496149542628,5.34494296951166,6.90775527629444
"43",3.91202300520886,4.60517018593687,1.55314034066464,6.90775527268482
"44",3.9110793767226,4.60517018557773,6.21460809827022,6.90775527617978
"45",3.91202300485248,1.96116076579874,3.84496698553033,6.90775527249832
"46",3.91202300517049,4.60517018589519,6.21460809816026,6.90775527808677
"47",3.91202300232056,4.60517018581001,6.21460809499538,6.90775527627136
"48",3.91202300539977,4.60517018597596,6.21460809791236,6.90775527816373
"49",2.60795761805051,3.53014607049812,6.21460809696231,5.29620243627545
"50",-0.372470333380086,4.60517018481686,6.01093895835672,1.1105052227382
"51",3.91202300529463,2.47361385457163,6.21460809756231,0.907555721132212
"52",3.91202300538333,4.60517018370476,6.21460808773048,2.87240479786453
"53",3.91202300486244,4.60517018327494,6.21460809426657,3.19765699694807
"54",3.91202300419782,2.55977699891878,6.21460809540397,6.9077552683608
"55",3.91202300535139,4.60517018534449,6.21460809806614,5.70409345502327
"56",3.07848287527401,4.60517018569588,6.21460801550259,6.90775527728118
"57",2.50047787574659,4.60517018598762,6.21460809786076,6.90775527833586
"58",3.91202300515116,2.47847977997199,4.70381569244026,6.90775527402371
"59",3.91202300540927,4.60517018586194,5.7271346423816,6.9077552675945
"60",0.606232117557404,4.60517018570141,5.26628895144054,6.90775524947617
"61",3.91202300541935,3.81303377438956,6.21460809585594,6.90775527557958
"62",3.91202300521474,2.27552680505158,1.64399877745683,6.90775527802487
"63",3.91202300541987,3.547227174636,6.21460809586975,6.90775527205756
"64",-1.17078308910337,2.05566511383682,6.21460809806288,6.90775527623748
"65",3.03970020719101,4.32112320225217,1.96184821920946,6.90775527735053
"66",3.91202300536387,4.60517017551827,5.75382542941642,6.90775527499005
"67",3.91202300421439,4.60517018384822,5.68473115086442,6.90775518330747
"68",2.98163516498324,3.50912633961006,5.86766239505928,6.87252758745518
"69",3.89486120663463,3.84918507971031,1.58600696963265,4.87076826828701
"70",1.45064064121091,4.60517018499235,6.21460809818717,6.90775527293249
"71",1.89105818493343,4.6051701858586,6.21460807790967,5.19129823912732
"72",0.144232950002113,3.57775507282581,6.21460809544911,6.54203243728256
"73",1.4065304109653,2.45559144940858,6.21460809770672,4.78820649779061
"74",3.91202300541875,2.96395462161678,6.21460808127748,6.90775527780835
"75",3.91202300541174,4.60517018402198,6.21460809270258,6.90775527728601
"76",2.97150529535491,4.44014161288248,6.21460809807718,6.90775526987954
"77",3.91202300406224,4.60517018573152,5.54399767059644,6.90775525903041
"78",3.91202300542754,2.64243474290278,6.21460809818855,6.90775527622861
"79",3.91202300542016,4.60517018513115,6.15788556096484,6.90775527753652
"80",3.91202300524987,4.6051701798418,6.21460809658802,6.90775527771547
"81",3.91202300515831,4.60517018105519,6.21460809753239,5.13620349620311
"82",3.91202300533444,3.00420275435599,6.21460809757082,6.73054984141271
"83",1.96919835797152,4.60517018563914,3.62538696295044,6.90775527462159
"84",3.9120230054191,4.60517018437647,6.21460808378083,6.90775527847097
"85",0.698925370977205,4.60517018584191,6.21460807800452,6.9077552778312
"86",3.91202300527769,4.60517018542403,6.2146080976579,6.90775527839094
"87",0.434277751651535,4.60517018570321,6.11273953611226,6.71386041863707
